,index,name,uri,site,hash,min,max,currency
216,217,Head of ML,https://krasnogorsk.hh.ru/vacancy/36350194?query=ML,hh.ru,95a583801b906d277365bd2be2c83d135a820302,,,
217,218,Data scientist (ML модели корпоративного бизнеса),https://krasnogorsk.hh.ru/vacancy/35745166?query=ML,hh.ru,0c624a26444bcafc1921e4a99b2ea967baf83a0f,,,
218,219,ML engineer,https://krasnogorsk.hh.ru/vacancy/37029033?query=ML,hh.ru,a089b671c2a306d63f04bc63721d5f0f5e4b84ae,,,
219,220,Data Architect,https://krasnogorsk.hh.ru/vacancy/37060781?query=ML,hh.ru,86cbde0730b5dbf4a16934a36d95353ca0c50b4e,,,
220,221,Руководитель направления по исследованию данных(Data Scientist),https://krasnogorsk.hh.ru/vacancy/34777225?query=ML,hh.ru,664b2ba85392b9b2c764e1ba9a2442d9cb105baf,,,
221,222,Senior Data scientist (ML модели корпоративного бизнеса),https://krasnogorsk.hh.ru/vacancy/36281690?query=ML,hh.ru,a0569438a56979fa3b9dcd179c4c61e4d12ae0bf,,,
222,223,Data Scientist (разработка скоринговых моделей),https://krasnogorsk.hh.ru/vacancy/37052134?query=ML,hh.ru,1bbc8d1c99174a00e32f284abd5439a2171686c1,,,
223,224,"Java Developer Инженер-программист в проект ""Интернет вещей""",https://krasnogorsk.hh.ru/vacancy/32137281?query=ML,hh.ru,d518ea230d09b6b92cbf7ae1c42fc89b28bf5d67,,,
224,225,Менеджер проектов,https://krasnogorsk.hh.ru/vacancy/37024224?query=ML,hh.ru,f0017e6f9ee595ccee88ac5d48d6e5e6a3750d71,,,
225,226,Data Scientist (Computer Vision),https://krasnogorsk.hh.ru/vacancy/37030777?query=ML,hh.ru,a54c74631387bccc36d0aef3fc76f46015de82a1,,,
226,227,Java-разработчик в Дзен,https://krasnogorsk.hh.ru/vacancy/36713841?query=ML,hh.ru,8b600a1311caf2807a489c72b3dcee9f461615c4,,,
227,228,Ведущий консультант SAP FI SL,https://krasnogorsk.hh.ru/vacancy/37053193?query=ML,hh.ru,096fa2c44fcd83abb563b75a4085dfc2670678c8,,,
228,229,Разработчик Python ML (Big Data),https://krasnogorsk.hh.ru/vacancy/36817845?query=ML,hh.ru,6680d46bd4465908d5f96113d9ee55e679b7aae9,,,
229,230,Data scientist,https://krasnogorsk.hh.ru/vacancy/37049593?query=ML,hh.ru,6b7f1c335e4409dff721972ec6b80d8087b4e2af,150000,,руб.
230,231,"Преподаватель курса ""Разработчик Чат-ботов""",https://krasnogorsk.hh.ru/vacancy/37058935?query=ML,hh.ru,4c1fe70e17a5bd302bbeeb26e9178edcc9b75884,,,
231,232,Data Scientist,https://krasnogorsk.hh.ru/vacancy/37048550?query=ML,hh.ru,736a748329b6b1557b1be8c4285218d2e903e18b,,,
232,233,Инженер-разработчик Python,https://krasnogorsk.hh.ru/vacancy/36712263?query=ML,hh.ru,6cdd392a14a7aa34f3300b6dbd85fbcd48abbed1,,,
233,234,"Developer (подсистема безопасности, KasperskyOS)",https://krasnogorsk.hh.ru/vacancy/37038280?query=ML,hh.ru,080dc2217fba47b4dd88eae775776c9ae7139d20,,,
234,235,"Research Developer (Python, C++)",https://krasnogorsk.hh.ru/vacancy/35680327?query=ML,hh.ru,510d8073b518f10f99a95cb8d7017653c4dd6c33,,,
235,236,Senior Python developer,https://krasnogorsk.hh.ru/vacancy/37037483?query=ML,hh.ru,840c484dcc9a07b3c6c2800d62f4eab5f0a87042,,,
236,237,3D Machine Learning Research and Development Engineer,https://krasnogorsk.hh.ru/vacancy/36734347?query=ML,hh.ru,f759f51be1a6db4ebb91bbd8282eae3248dc4429,,,
